model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,make
 1 Series,2016,"$11,399 ",Manual,24820,Diesel,0,78.5,1.5,BMW
 A1,2016,"$11,500 ",Manual,15567,Diesel,0,76.3,1.6,Audi
 Yaris,2018,"$10,998 ",Manual,9053,Petrol,150,58.9,1.5,toyota
 GLE Class,2017,"$29,338 ",Semi-Auto,18001,Diesel,145,47.9,2.1,merc
 Corsa,2019,"$8,865 ",Manual,4008,Petrol,145,43.5,1.4,vauxhall
 Fiesta,2016,"$11,499 ",Manual,19436,Petrol,145,47.9,1.6,ford
 Fiesta,2018,"$10,497 ",Manual,14220,Petrol,145,64.2,1.1,ford
 Passat,2018,"$15,640 ",Semi-Auto,40377,Diesel,145,68.9,1.6,volkswagen
 Q5,2019,"$32,576 ",Semi-Auto,6024,Diesel,145,38.2,2,Audi
 Astra,2016,"$8,498 ",Manual,40232,Diesel,0,74.3,1.6,vauxhall
 Fiesta,2015,"$9,299 ",Automatic,5040,Petrol,30,57.7,1,ford
 Polo,2017,"$11,290 ",Manual,19812,Petrol,145,60.1,1.2,volkswagen
 1 Series,2019,"$19,940 ",Semi-Auto,2635,Petrol,145,54.3,1.5,BMW
 RAV4,2019,"$28,998 ",Automatic,10910,Hybrid,135,51.1,2.5,toyota
 Arteon,2019,"$32,450 ",Automatic,4824,Diesel,145,37.7,2,volkswagen
 Z4,2020,"$35,850 ",Semi-Auto,5,Petrol,145,37.2,2,BMW
 1 Series,2017,"$11,300 ",Manual,44210,Diesel,145,68.9,2,BMW
 5 Series,2016,"$17,998 ",Automatic,28695,Diesel,145,53.3,3,BMW
 Kuga,2017,"$15,750 ",Manual,26323,Diesel,145,54.3,2,ford
 Q5,2014,"$15,490 ",Semi-Auto,69798,Diesel,200,47.1,2,Audi
 Crossland X,2019,"$16,990 ",Manual,1180,Petrol,145,44.8,1.2,vauxhall
 S-MAX,2012,"$10,997 ",Automatic,39125,Diesel,200,47.1,2,ford
 Insignia,2018,"$13,400 ",Manual,12704,Petrol,145,47.1,1.5,vauxhall
 Yaris,2016,"$8,990 ",Automatic,35562,Petrol,30,55,1.3,toyota
 Kuga,2019,"$18,600 ",Manual,6741,Diesel,145,47.9,2,ford
 EcoSport,2017,"$9,480 ",Manual,15258,Diesel,30,64.2,1.5,ford
 Fiesta,2017,"$9,290 ",Manual,20286,Petrol,145,65.7,1,ford
 Meriva,2015,"$5,999 ",Manual,28147,Petrol,145,47.1,1.4,vauxhall
 Golf,2016,"$11,489 ",Manual,40744,Diesel,0,74.3,1.6,volkswagen
 Corsa,2017,"$8,998 ",Manual,15171,Petrol,30,55.4,1.4,vauxhall
 1 Series,2016,"$11,495 ",Automatic,54075,Diesel,20,70.6,2,BMW
 Touareg,2019,"$45,490 ",Semi-Auto,3263,Diesel,145,34,3,volkswagen
 Aygo,2017,"$8,465 ",Semi-Auto,18353,Petrol,145,67,1,toyota
 Corsa,2018,"$7,799 ",Manual,13000,Petrol,145,55.4,1.4,vauxhall
 Up,2019,"$10,355 ",Manual,9999,Petrol,145,54.3,1,volkswagen
 Touran,2019,"$26,699 ",Semi-Auto,473,Petrol,145,38.7,1.5,volkswagen
 Aygo,2015,"$5,489 ",Manual,31870,Petrol,0,69,1,toyota
 Focus,2017,"$10,995 ",Semi-Auto,27328,Petrol,125,51.4,1,ford
 Aygo,2017,"$7,698 ",Manual,8243,Petrol,145,68.9,1,toyota
 Mokka,2013,"$7,495 ",Manual,62900,Diesel,125,57.6,1.7,vauxhall
 Karoq,2019,"$20,945 ",Manual,3027,Petrol,145,41.5,1,skoda
 Insignia,2015,"$8,698 ",Automatic,28781,Diesel,150,53.3,2,vauxhall
 Astra,2020,"$16,650 ",Manual,10,Petrol,145,54.3,1.2,vauxhall
 Golf SV,2019,"$21,998 ",Semi-Auto,10,Petrol,145,42.8,1.5,volkswagen
 I30,2018,"$11,250 ",Manual,12364,Diesel,145,74.3,1.6,hyundi
 Corolla,2019,"$22,900 ",Automatic,5910,Hybrid,135,85.6,1.8,toyota
 I10,2014,"$5,700 ",Manual,37973,Petrol,30,57.6,1.2,hyundi
 I10,2017,"$7,495 ",Manual,6500,Petrol,145,57.7,1.2,hyundi
 A5,2017,"$22,990 ",Semi-Auto,14589,Diesel,30,65.7,2,Audi
 Superb,2017,"$17,300 ",Automatic,31813,Diesel,145,61.4,2,skoda
 X5,2019,"$44,980 ",Semi-Auto,7383,Diesel,145,37.7,3,BMW
 KA,2019,"$11,495 ",Manual,1818,Petrol,145,47.9,1.2,ford
 Z4,2019,"$40,000 ",Automatic,2756,Petrol,145,33.2,3,BMW
 Aygo,2017,"$7,495 ",Manual,11647,Petrol,0,68.9,1,toyota
 T-Roc,2019,"$22,330 ",Manual,8028,Diesel,145,50.4,1.6,volkswagen
 Astra,2017,"$12,000 ",Manual,14543,Diesel,145,72.4,1.6,vauxhall
 Q5,2019,"$31,950 ",Semi-Auto,4879,Diesel,150,38.2,2,Audi
 Golf,2016,"$11,989 ",Semi-Auto,25000,Diesel,20,58.9,1.6,volkswagen
 1 Series,2017,"$11,861 ",Manual,23268,Diesel,0,78.5,1.5,BMW
 3 Series,2016,"$17,980 ",Semi-Auto,33475,Diesel,30,64.2,2,BMW
 Focus,2017,"$10,700 ",Manual,44901,Diesel,150,74.3,1.5,ford
 A1,2015,"$13,400 ",Semi-Auto,38461,Petrol,30,56.5,1.4,Audi
 Tiguan,2017,"$16,298 ",Manual,12598,Petrol,145,46.3,1.4,volkswagen
 3 Series,2020,"$41,850 ",Automatic,101,Diesel,145,44.1,3,BMW
 Astra,2018,"$10,400 ",Manual,31633,Petrol,145,62.8,1,vauxhall
 Mokka X,2019,"$12,798 ",Manual,8233,Petrol,145,39.2,1.4,vauxhall
 Q7,2020,"$59,750 ",Automatic,6500,Diesel,145,33.2,3,Audi
 Insignia,2016,"$5,493 ",Manual,108000,Diesel,0,74.3,1.6,vauxhall
 Kuga,2018,"$16,995 ",Manual,34690,Diesel,145,60.1,2,ford
 C Class,2018,"$19,980 ",Semi-Auto,26119,Diesel,145,61.4,2.1,merc
 A Class,2020,"$26,998 ",Automatic,20,Diesel,145,65.7,1.5,merc
 Fiesta,2018,"$10,500 ",Manual,23047,Petrol,145,65.7,1,ford
 Yaris,2013,"$7,249 ",Manual,43093,Petrol,125,51.4,1.3,toyota
 GLE Class,2016,"$29,000 ",Semi-Auto,47956,Diesel,260,42.8,3,merc
 Insignia,2017,"$11,499 ",Manual,14907,Petrol,145,47.1,1.5,vauxhall
 Golf,2013,"$9,995 ",Manual,36600,Petrol,30,58.9,1.4,volkswagen
 A6,2017,"$18,100 ",Automatic,82221,Diesel,145,54.3,3,Audi
 IX35,2015,"$7,950 ",Manual,47300,Diesel,145,53.3,1.7,hyundi
 Golf,2017,"$12,940 ",Manual,13116,Petrol,145,58.9,1,volkswagen
 I30,2016,"$7,995 ",Manual,47014,Diesel,0,78.4,1.6,hyundi
 Mokka X,2017,"$11,995 ",Manual,22279,Diesel,125,60.1,1.6,vauxhall
 Q3,2019,"$26,700 ",Automatic,2047,Diesel,145,48.7,2,Audi
 Yaris,2017,"$9,498 ",Manual,34185,Petrol,150,56.5,1.5,toyota
 Up,2016,"$6,495 ",Manual,13097,Petrol,20,62.8,1,volkswagen
 I30,2013,"$5,798 ",Automatic,74200,Diesel,165,50.4,1.6,hyundi
 EcoSport,2017,"$9,300 ",Manual,27280,Petrol,125,52.3,1,ford
 1 Series,2016,"$18,897 ",Semi-Auto,32632,Petrol,200,39.8,3,BMW
 Tucson,2016,"$12,698 ",Manual,35870,Diesel,30,61.7,1.7,hyundi
 1 Series,2016,"$13,235 ",Automatic,54013,Diesel,30,62.8,2,BMW
 Fabia,2018,"$11,495 ",Manual,14358,Petrol,150,64.2,1,skoda
 Kuga,2016,"$10,499 ",Manual,51000,Diesel,30,64.2,1.5,ford
 A Class,2018,"$14,500 ",Manual,25414,Petrol,150,51.4,1.6,merc
 Yaris,2016,"$10,600 ",Automatic,22931,Hybrid,0,86,1.5,toyota
 A Class,2015,"$19,600 ",Automatic,29917,Petrol,160,45.6,2,merc
 Yaris,2019,"$10,995 ",Manual,8156,Petrol,145,47.9,1.5,toyota
 Tiguan,2019,"$28,754 ",Semi-Auto,8019,Diesel,145,39.8,2,volkswagen
 Astra,2017,"$10,998 ",Manual,18752,Petrol,160,47.1,1.4,vauxhall
 M3,2018,"$36,995 ",Semi-Auto,28347,Petrol,150,34,3,BMW
 C Class,2019,"$45,980 ",Semi-Auto,3830,Petrol,145,29.7,3,merc
 Astra,2017,"$9,998 ",Manual,37741,Diesel,145,76.3,1.6,vauxhall
 A1,2017,"$14,495 ",Manual,8608,Petrol,145,67.3,1,Audi
 Kuga,2015,"$11,495 ",Automatic,40000,Diesel,150,52.3,2,ford
 A3,2016,"$15,650 ",Manual,35437,Diesel,20,67.3,2,Audi
 Scala,2020,"$15,980 ",Manual,100,Petrol,150,50.4,1,skoda
 3 Series,2017,"$20,898 ",Semi-Auto,17131,Diesel,150,64.2,2,BMW
 Fabia,2016,"$7,995 ",Manual,24487,Petrol,20,60.1,1.2,skoda
 3 Series,2015,"$11,000 ",Manual,58878,Diesel,20,72.4,2,BMW
 Fabia,2016,"$9,000 ",Manual,13319,Petrol,20,60.1,1.2,skoda
 A Class,2020,"$25,479 ",Semi-Auto,1000,Petrol,145,53.3,1.3,merc
 Arteon,2019,"$30,000 ",Automatic,6500,Petrol,145,32.8,2,volkswagen
 C Class,2019,"$25,299 ",Semi-Auto,4004,Petrol,145,44.1,1.5,merc
 GLC Class,2019,"$30,649 ",Semi-Auto,5909,Diesel,145,56.5,2.1,merc
 Polo,2014,"$7,298 ",Manual,33904,Petrol,20,58.9,1,volkswagen
 Octavia,2019,"$13,990 ",Manual,14122,Diesel,150,67.3,1.6,skoda
 B-MAX,2015,"$7,890 ",Automatic,16796,Petrol,160,44.1,1.6,ford
 Yaris,2017,"$9,290 ",Manual,19762,Petrol,145,58.9,1.5,toyota
 Focus,2016,"$7,490 ",Manual,62398,Diesel,0,74.3,1.5,ford
 Auris,2017,"$14,991 ",Automatic,41000,Hybrid,140,78.5,1.8,toyota
 C Class,2016,"$12,795 ",Automatic,100000,Hybrid,0,134.5,2,merc
 I10,2017,"$6,890 ",Manual,20979,Petrol,145,60.1,1,hyundi
 Q2,2018,"$19,450 ",Manual,11794,Petrol,145,53.3,1,Audi
 Mokka X,2017,"$11,698 ",Manual,14111,Petrol,145,47.1,1.4,vauxhall
 Mokka,2016,"$8,998 ",Manual,22374,Petrol,205,40.9,1.6,vauxhall
 3 Series,2013,"$10,985 ",Automatic,70000,Diesel,165,50.4,2,BMW
 1 Series,2016,"$10,899 ",Manual,46035,Diesel,20,70.6,1.5,BMW
 2 Series,2020,"$29,995 ",Semi-Auto,1000,Petrol,145,47.9,2,BMW
 Octavia,2014,"$7,800 ",Manual,79200,Diesel,125,57.6,2,skoda
 Fiesta,2016,"$10,990 ",Manual,31000,Petrol,145,47.9,1.6,ford
 Focus,2009,"$3,450 ",Manual,77466,Petrol,190,42.2,1.6,ford
 A Class,2017,"$12,900 ",Manual,16410,Diesel,145,80.7,1.5,merc
 T-Cross,2019,"$17,987 ",Manual,3102,Petrol,145,47.9,1,volkswagen
 Astra,2016,"$10,000 ",Manual,23126,Petrol,125,51.4,1.4,vauxhall
 Polo,2017,"$9,750 ",Manual,9933,Petrol,150,60.1,1,volkswagen
 Polo,2019,"$20,650 ",Semi-Auto,2500,Petrol,150,39.8,2,volkswagen
 Fiesta,2017,"$9,495 ",Manual,6999,Petrol,145,65.7,1,ford
 Polo,2016,"$10,795 ",Manual,28029,Petrol,0,65.7,1,volkswagen
 EcoSport,2016,"$10,995 ",Automatic,7600,Petrol,160,44.8,1.5,ford
 1 Series,2018,"$17,480 ",Manual,13455,Petrol,145,52.3,1.5,BMW
 Corsa,2015,"$6,200 ",Manual,40383,Diesel,0,74.3,1.3,vauxhall
 Fiesta,2017,"$7,999 ",Manual,26213,Diesel,0,78.5,1.5,ford
 A7,2016,"$19,990 ",Semi-Auto,27386,Diesel,125,61.4,3,Audi
 Q8,2019,"$53,981 ",Semi-Auto,9432,Diesel,145,33.6,3,Audi
 Zafira,2013,"$7,799 ",Manual,31226,Diesel,30,62.8,2,vauxhall
 Karoq,2019,"$18,995 ",Manual,3340,Diesel,145,62.8,1.6,skoda
 Mokka X,2017,"$10,500 ",Manual,31412,Petrol,150,47.1,1.4,vauxhall
 SL CLASS,2017,"$20,019 ",Automatic,11782,Diesel,30,70.6,2.1,merc
 Corsa,2019,"$11,499 ",Manual,1217,Petrol,145,43.5,1.4,vauxhall
 TT,2011,"$9,099 ",Automatic,75309,Petrol,200,39.8,2,Audi
 Scirocco,2016,"$13,490 ",Manual,36000,Diesel,20,55.4,2,volkswagen
 Kuga,2016,"$17,790 ",Automatic,4618,Petrol,235,38.2,1.5,ford
 6 Series,2014,"$17,898 ",Semi-Auto,64215,Diesel,160,49.6,3,BMW
 Fiesta,2018,"$11,495 ",Manual,15344,Petrol,145,65.7,1,ford
 Golf,2013,"$7,995 ",Manual,76005,Diesel,20,68.9,2,volkswagen
 Octavia,2019,"$15,790 ",Automatic,3327,Diesel,145,72.4,1.6,skoda
 A1,2016,"$11,495 ",Manual,42221,Petrol,30,55.4,1.4,Audi
 C Class,2019,"$24,500 ",Semi-Auto,9200,Petrol,145,45.6,1.5,merc
 A3,2016,"$15,291 ",Manual,17562,Petrol,30,58.9,1.4,Audi
 Avensis,2016,"$9,295 ",Manual,56501,Diesel,20,67.3,1.6,toyota
 Ka+,2017,"$7,650 ",Manual,18043,Petrol,30,57.7,1.2,ford
 Q3,2019,"$24,950 ",Manual,3525,Petrol,145,40.9,1.5,Audi
 Q2,2019,"$23,990 ",Manual,1707,Diesel,145,49.6,1.6,Audi
 Fiesta,2018,"$9,950 ",Manual,10405,Petrol,145,64.2,1.1,ford
 Golf,2020,"$25,999 ",Manual,5000,Petrol,145,47.9,1.5,volkswagen
 Fiesta,2018,"$9,900 ",Manual,33996,Petrol,145,65.7,1,ford
 3 Series,2017,"$23,488 ",Automatic,16730,Diesel,145,51.4,3,BMW
 T-Roc,2019,"$24,990 ",Manual,15000,Diesel,145,46.3,2,volkswagen
 X3,2019,"$30,850 ",Semi-Auto,14260,Petrol,145,30.4,2,BMW
 Up,2020,"$10,490 ",Manual,386,Petrol,145,54.3,1,volkswagen
 Land Cruiser,2020,"$52,990 ",Automatic,1244,Diesel,145,30.1,2.8,toyota
 Zafira,2017,"$10,935 ",Manual,17856,Petrol,200,42.2,1.4,vauxhall
 Kona,2018,"$15,995 ",Manual,19758,Petrol,145,52.3,1,hyundi
 X1,2017,"$18,998 ",Semi-Auto,28686,Diesel,125,57.6,2,BMW
 3 Series,2014,"$8,000 ",Manual,99920,Diesel,125,58.9,2,BMW
 Astra,2007,$995 ,Manual,143695,Petrol,200,42.8,1.6,vauxhall
 Fiesta,2019,"$13,400 ",Semi-Auto,1661,Petrol,145,48.7,1,ford
 Passat,2019,"$17,799 ",Manual,12584,Diesel,145,51.4,2,volkswagen
 I10,2014,"$4,495 ",Manual,53910,Petrol,20,61.4,1.2,hyundi
 A4,2016,"$13,990 ",Semi-Auto,53340,Petrol,30,53.3,2,Audi
 A6,2014,"$12,995 ",Semi-Auto,82500,Diesel,145,54.3,3,Audi
 Superb,2013,"$11,995 ",Semi-Auto,50112,Diesel,160,52.3,2,skoda
 Insignia,2015,"$5,990 ",Manual,57000,Diesel,0,76.3,2,vauxhall
 Mondeo,2019,"$22,000 ",Automatic,8865,Diesel,145,58.9,2,ford
 Q2,2017,"$19,990 ",Semi-Auto,18887,Petrol,125,52.3,1.4,Audi
 Edge,2016,"$19,419 ",Automatic,20028,Diesel,160,48.7,2,ford
 C-MAX,2017,"$9,998 ",Manual,25003,Petrol,30,55.4,1,ford
 Touareg,2015,"$19,400 ",Automatic,38249,Diesel,240,42.8,3,volkswagen
 Golf,2017,"$13,990 ",Manual,11086,Petrol,30,54.3,1.4,volkswagen
 Viva,2019,"$8,499 ",Manual,15000,Petrol,145,46.3,1,vauxhall
 Golf,2019,"$12,598 ",Manual,15149,Diesel,145,57.7,1.6,volkswagen
 Land Cruiser,2020,"$47,885 ",Automatic,4,Diesel,145,30.1,2.8,toyota
 Golf,2019,"$25,250 ",Manual,4657,Petrol,145,37.2,2,volkswagen
 Golf,2018,"$15,940 ",Semi-Auto,13388,Diesel,145,72.4,1.6,volkswagen
 3 Series,2015,"$11,999 ",Automatic,29595,Diesel,30,62.8,2,BMW
 V Class,2019,"$20,750 ",Automatic,18603,Diesel,145,48.7,2.1,merc
 Golf,2016,"$11,210 ",Manual,33404,Petrol,30,53.3,1.4,volkswagen
 Tucson,2018,"$13,985 ",Manual,15563,Diesel,150,61.7,1.7,hyundi
 A Class,2016,"$57,950 ",Automatic,45000,Petrol,325,30.1,4,merc
 Q2,2019,"$22,450 ",Semi-Auto,8928,Petrol,150,43.5,1,Audi
 GLE Class,2020,"$58,789 ",Semi-Auto,1000,Diesel,145,32.5,2.9,merc
 Tiguan,2016,"$18,500 ",Automatic,21842,Diesel,160,49.6,2,volkswagen
 Golf,2020,"$23,995 ",Manual,982,Petrol,150,49.6,1.5,volkswagen
 3 Series,2019,"$26,498 ",Semi-Auto,21165,Diesel,145,48.7,2,BMW
 GLA Class,2017,"$20,562 ",Semi-Auto,11759,Diesel,145,64.2,2.1,merc
 Fiesta,2018,"$9,788 ",Manual,15432,Petrol,145,65.7,1,ford
 I10,2015,"$5,495 ",Manual,27056,Petrol,20,60.1,1,hyundi
 C Class,2017,"$20,790 ",Semi-Auto,22485,Hybrid,0,74.3,2.1,merc
 Polo,2020,"$16,997 ",Semi-Auto,848,Petrol,145,45.6,1,volkswagen
 C-HR,2019,"$25,000 ",Automatic,6965,Hybrid,140,74.3,1.8,toyota
 A3,2016,"$11,513 ",Manual,82785,Diesel,20,67.3,2,Audi
 Yaris,2019,"$12,495 ",Manual,3942,Petrol,145,47.9,1.5,toyota
 Tiguan,2012,"$11,995 ",Manual,37000,Diesel,160,48.7,2,volkswagen
 C Class,2015,"$16,990 ",Automatic,40000,Diesel,30,64.2,2.1,merc
 EcoSport,2017,"$10,900 ",Manual,21057,Petrol,125,52.3,1,ford
 Aygo,2019,"$11,495 ",Manual,10699,Petrol,145,57.7,1,toyota
 A6,2017,"$19,995 ",Automatic,22000,Diesel,145,61.4,2,Audi
 Corsa,2017,"$7,575 ",Manual,6222,Petrol,145,55.4,1.4,vauxhall
 Fiesta,2017,"$10,500 ",Manual,6225,Petrol,0,65.7,1,ford
 TT,2015,"$16,990 ",Semi-Auto,23026,Petrol,200,42.2,2,Audi
 Up,2019,"$9,400 ",Manual,3329,Petrol,145,54.3,1,volkswagen
 Focus,2019,"$18,200 ",Manual,804,Petrol,145,48.7,1,ford
 Polo,2018,"$14,995 ",Semi-Auto,9535,Petrol,145,61.4,1,volkswagen
 Focus,2017,"$19,980 ",Manual,12720,Diesel,145,67.3,2,ford
 EcoSport,2018,"$14,500 ",Manual,9000,Petrol,145,54.3,1,ford
 I10,2018,"$7,495 ",Manual,14162,Petrol,145,60.1,1,hyundi
 Superb,2019,"$17,490 ",Automatic,10587,Diesel,150,62.8,2,skoda
 Polo,2017,"$9,990 ",Manual,32136,Petrol,145,60.1,1.2,volkswagen
 Fiesta,2020,"$21,865 ",Manual,500,Petrol,145,55.4,1,ford
 Aygo,2015,"$6,250 ",Manual,21038,Petrol,0,69,1,toyota
 Mokka,2018,"$15,000 ",Automatic,11804,Petrol,150,43.5,1.4,vauxhall
 Karoq,2019,"$23,995 ",Manual,16618,Diesel,145,42.8,2,skoda
 Astra,2014,"$7,500 ",Manual,18380,Petrol,235,39.2,1.6,vauxhall
 Auris,2015,"$10,499 ",Manual,26774,Petrol,125,52.3,1.2,toyota
 1 Series,2019,"$18,950 ",Manual,6675,Diesel,145,70.6,1.5,BMW
 Yaris,2018,"$12,290 ",Automatic,29740,Hybrid,140,76.3,1.5,toyota
 Octavia,2019,"$20,995 ",Manual,5797,Diesel,145,62.8,2,skoda
 Q2,2019,"$28,945 ",Automatic,6093,Petrol,145,33.2,2,Audi
 Corsa,2019,"$10,998 ",Manual,6736,Petrol,145,44.8,1.4,vauxhall
 4 Series,2016,"$12,200 ",Automatic,77969,Diesel,20,70.6,2,BMW
 Fiesta,2018,"$10,999 ",Manual,5918,Petrol,145,55.4,1.1,ford
 Mokka X,2017,"$10,703 ",Manual,17375,Petrol,150,47.1,1.4,vauxhall
 GLE Class,2016,"$27,990 ",Automatic,33493,Diesel,205,47.9,2.1,merc
 7 Series,2017,"$38,950 ",Semi-Auto,7500,Petrol,150,35.3,4.4,BMW
 Yaris,2018,"$9,995 ",Manual,17211,Petrol,145,58.9,1.5,toyota
 C Class,2019,"$27,480 ",Semi-Auto,5090,Diesel,145,61.4,2,merc
 C Class,2018,"$21,498 ",Automatic,12123,Diesel,145,60.1,2.1,merc
 Fiesta,2017,"$10,195 ",Semi-Auto,16285,Petrol,0,57.7,1,ford
 I20,2016,"$7,995 ",Manual,18777,Petrol,30,55.4,1.2,hyundi
 3 Series,2013,"$8,298 ",Manual,63636,Diesel,20,68.9,2,BMW
 Kuga,2019,"$19,495 ",Manual,6000,Diesel,145,38.2,2,ford
 Kuga,2018,"$14,499 ",Manual,44934,Diesel,145,64.2,1.5,ford
 Corsa,2016,"$5,971 ",Manual,27353,Petrol,125,53.3,1.2,vauxhall
 Fabia,2016,"$7,900 ",Manual,28893,Petrol,20,58.8,1.2,skoda
 Corsa,2017,"$7,500 ",Manual,35831,Petrol,30,54.3,1.4,vauxhall
 4 Series,2014,"$15,050 ",Semi-Auto,26973,Diesel,125,60.1,2,BMW
 Focus,2019,"$20,170 ",Manual,100,Petrol,145,60.1,1,ford
 Golf,2020,"$26,989 ",Automatic,895,Diesel,145,52.3,2,volkswagen
 Astra,2017,"$11,998 ",Manual,14590,Petrol,125,51.4,1.4,vauxhall
 Fiesta,2018,"$10,800 ",Manual,6866,Petrol,145,58.9,1,ford
 3 Series,2014,"$8,800 ",Manual,84392,Diesel,30,62.8,2,BMW
 Passat,2015,"$8,799 ",Manual,63191,Diesel,20,68.9,2,volkswagen
 Polo,2019,"$20,490 ",Semi-Auto,4571,Petrol,145,39.8,2,volkswagen
 Amarok,2017,"$20,999 ",Automatic,69123,Diesel,260,36.2,3,volkswagen
 2 Series,2017,"$14,495 ",Manual,28180,Petrol,125,53.3,1.5,BMW
 A4,2019,"$22,990 ",Automatic,2349,Diesel,145,51.4,2,Audi
 Fabia,2017,"$8,995 ",Manual,20216,Petrol,150,64.2,1,skoda
 Corsa,2019,"$10,200 ",Manual,11492,Petrol,145,43.5,1.4,vauxhall
 Touran,2019,"$25,990 ",Semi-Auto,25,Petrol,145,38.7,1.5,volkswagen
 A Class,2019,"$123,846 ",Semi-Auto,2951,Petrol,145,22.1,4,merc
 Polo,2017,"$9,890 ",Manual,24867,Diesel,145,74.3,1.4,volkswagen
 Astra,2017,"$10,795 ",Semi-Auto,18171,Petrol,125,50.4,1.4,vauxhall
 Aygo,2017,"$6,950 ",Manual,40231,Petrol,145,68.9,1,toyota
 Hilux,2020,"$30,500 ",Automatic,5000,Diesel,260,2.8,2.4,toyota
 I30,2018,"$10,349 ",Manual,13164,Petrol,150,57.7,1,hyundi
 Corsa,2017,"$8,000 ",Manual,30739,Petrol,145,55.4,1.4,vauxhall
 RAV4,2019,"$29,900 ",Automatic,16885,Hybrid,135,49.6,2.5,toyota
 Tucson,2016,"$11,799 ",Manual,59271,Diesel,30,61.7,1.7,hyundi
 Touran,2017,"$15,690 ",Manual,35657,Diesel,30,61.4,1.6,volkswagen
 Up,2015,"$7,990 ",Manual,18551,Petrol,20,61.4,1,volkswagen
 GLC Class,2017,"$29,495 ",Semi-Auto,29000,Diesel,145,56.5,2.1,merc
 1 Series,2019,"$19,598 ",Semi-Auto,11308,Diesel,145,67.3,2,BMW
 Polo,2016,"$10,495 ",Manual,27932,Petrol,20,60.1,1.2,volkswagen
 X1,2019,"$26,690 ",Semi-Auto,8140,Petrol,145,35.3,2,BMW
 Fabia,2019,"$8,795 ",Manual,8520,Petrol,145,57.7,1,skoda
 E Class,2016,"$20,349 ",Semi-Auto,14391,Diesel,30,65.7,2,merc
 Passat,2019,"$19,000 ",Automatic,4037,Petrol,145,41.5,1.5,volkswagen
 Arteon,2018,"$21,444 ",Semi-Auto,18563,Petrol,145,47.1,2,volkswagen
 Golf,2016,"$13,798 ",Manual,58025,Diesel,20,67.3,2,volkswagen
 Q3,2016,"$17,400 ",Manual,21331,Diesel,145,52.3,2,Audi
 GT86,2017,"$17,990 ",Manual,12597,Petrol,145,36.2,2,toyota
 Ka+,2018,"$8,710 ",Manual,8714,Petrol,145,54.3,1.2,ford
 Tourneo Connect,2015,"$10,298 ",Manual,28309,Diesel,125,58.9,1.6,ford
 Kuga,2018,"$15,298 ",Manual,38318,Diesel,145,54.3,2,ford
 Octavia,2016,"$8,695 ",Manual,42000,Diesel,0,74.3,1.6,skoda
 A Class,2016,"$14,722 ",Manual,36416,Diesel,20,68.9,1.5,merc
 Insignia,2017,"$14,298 ",Manual,20260,Petrol,145,46.3,1.5,vauxhall
 A4,2016,"$14,000 ",Manual,27515,Petrol,125,53.3,1.4,Audi
 RS4,2019,"$55,495 ",Semi-Auto,9000,Petrol,150,29.1,2.9,Audi
 C Class,2016,"$16,799 ",Automatic,38785,Diesel,30,64.2,2.1,merc
 Focus,2018,"$11,400 ",Manual,26656,Petrol,145,57.7,1,ford
 Tucson,2019,"$22,990 ",Manual,2899,Petrol,145,34.9,1.6,hyundi
 Tucson,2018,"$14,999 ",Manual,15500,Petrol,150,44.8,1.6,hyundi
 Aygo,2013,"$4,695 ",Manual,36475,Petrol,0,65.7,1,toyota
 A1,2016,"$9,999 ",Manual,30000,Petrol,0,67.3,1,Audi
 Superb,2020,"$28,995 ",Semi-Auto,781,Diesel,145,47.1,2,skoda
 Sharan,2019,"$24,290 ",Semi-Auto,13492,Diesel,145,41.5,2,volkswagen
 Octavia,2019,"$13,398 ",Manual,15938,Petrol,145,60.1,1,skoda
 Amarok,2018,"$28,900 ",Automatic,12231,Diesel,260,36.2,3,volkswagen
 GT86,2018,"$20,695 ",Manual,5260,Petrol,145,36.2,2,toyota
 Up,2019,"$9,998 ",Manual,20,Petrol,145,54.3,1,volkswagen
 Focus,2019,"$16,698 ",Manual,18697,Petrol,145,60.1,1,ford
 GLC Class,2019,"$35,990 ",Automatic,4749,Diesel,145,42.2,2.1,merc
 Kodiaq,2017,"$21,490 ",Automatic,40989,Petrol,145,38.2,2,skoda
 Mustang,2019,"$35,989 ",Automatic,12,Petrol,145,30.7,2.3,ford
 B Class,2019,"$23,999 ",Semi-Auto,2067,Diesel,145,55.4,2,merc
 RS6,2017,"$56,950 ",Semi-Auto,13051,Petrol,150,29.4,4,Audi
 Aygo,2017,"$7,995 ",Manual,6500,Petrol,145,68.9,1,toyota
 E Class,2010,"$7,995 ",Automatic,98000,Diesel,200,45.6,2.1,merc
 Focus,2017,"$11,999 ",Manual,13631,Petrol,150,57.7,1,ford
 Touran,2017,"$19,995 ",Semi-Auto,10031,Diesel,150,58.9,2,volkswagen
 Fabia,2017,"$11,890 ",Automatic,10660,Petrol,150,60.1,1.2,skoda
 Fabia,2017,"$9,775 ",Manual,37340,Petrol,20,60.1,1.2,skoda
 C Class,2019,"$29,199 ",Semi-Auto,11242,Diesel,145,64.2,2,merc
 Focus,2017,"$15,499 ",Manual,38688,Diesel,150,67.3,2,ford
 C-MAX,2016,"$8,330 ",Manual,37172,Diesel,20,68.9,1.5,ford
 T-Roc,2019,"$30,495 ",Semi-Auto,5150,Petrol,150,34.5,2,volkswagen
